,path,blue,green,red
0,img/cool1.jpg,236.26801123308655,231.22798059739597,230.47699770232322
1,img/cool2.jpg,237.55336734693878,224.22576530612244,202.37459183673468
2,img/cool3.jpg,237.89198979591836,231.16357142857143,228.7798469387755
3,img/cool4.jpg,244.59994897959183,240.7720918367347,238.51744897959185
4,img/cool5.jpg,135.82512378132816,126.31682915624522,120.9322648154765
5,img/cool6.jpg,239.07335630203846,236.82558139534885,224.2489233419466
6,img/cool7.jpg,240.26816326530613,231.45938775510203,205.2094387755102
7,img/cool8.jpg,192.59933673469388,160.6440306122449,156.4637244897959
8,img/cool9.jpg,229.73714285714286,205.18933673469388,174.0519387755102
9,img/cool10.jpg,204.67595663265305,200.55255102040817,181.36020408163265
